estado,acceso_salud,sexo,anio,trimestre,trimestre_texto,periodo,fecha_fin_trimestre,valor
Baja California,Con acceso a instituciones de salud,Hombre,2013,2,Segundo trimestre del 2013,2013Q2,2013-06-30 23:59:59.999999999,77102
Baja California,Con acceso a instituciones de salud,Mujer,2013,2,Segundo trimestre del 2013,2013Q2,2013-06-30 23:59:59.999999999,45250
Baja California,Con acceso a instituciones de salud,Hombre,2013,3,Tercer trimestre del 2013,2013Q3,2013-09-30 23:59:59.999999999,77220
Baja California,Con acceso a instituciones de salud,Mujer,2013,3,Tercer trimestre del 2013,2013Q3,2013-09-30 23:59:59.999999999,47212
Baja California,Con acceso a instituciones de salud,Hombre,2013,4,Cuarto trimestre del 2013,2013Q4,2013-12-31 23:59:59.999999999,80351
Baja California,Con acceso a instituciones de salud,Mujer,2013,4,Cuarto trimestre del 2013,2013Q4,2013-12-31 23:59:59.999999999,53160
Baja California,Con acceso a instituciones de salud,Hombre,2014,1,Primer trimestre del 2014,2014Q1,2014-03-31 23:59:59.999999999,88017
Baja California,Con acceso a instituciones de salud,Mujer,2014,1,Primer trimestre del 2014,2014Q1,2014-03-31 23:59:59.999999999,49393
Baja California,Con acceso a instituciones de salud,Hombre,2014,2,Segundo trimestre del 2014,2014Q2,2014-06-30 23:59:59.999999999,82956
Baja California,Con acceso a instituciones de salud,Mujer,2014,2,Segundo trimestre del 2014,2014Q2,2014-06-30 23:59:59.999999999,52773
Baja California,Con acceso a instituciones de salud,Hombre,2014,3,Tercer trimestre del 2014,2014Q3,2014-09-30 23:59:59.999999999,84645
Baja California,Con acceso a instituciones de salud,Mujer,2014,3,Tercer trimestre del 2014,2014Q3,2014-09-30 23:59:59.999999999,49866
Baja California,Con acceso a instituciones de salud,Hombre,2014,4,Cuarto trimestre del 2014,2014Q4,2014-12-31 23:59:59.999999999,79854
Baja California,Con acceso a instituciones de salud,Mujer,2014,4,Cuarto trimestre del 2014,2014Q4,2014-12-31 23:59:59.999999999,52931
Baja California,Con acceso a instituciones de salud,Hombre,2015,1,Primer trimestre del 2015,2015Q1,2015-03-31 23:59:59.999999999,83900
Baja California,Con acceso a instituciones de salud,Mujer,2015,1,Primer trimestre del 2015,2015Q1,2015-03-31 23:59:59.999999999,41725
Baja California,Con acceso a instituciones de salud,Hombre,2015,2,Segundo trimestre del 2015,2015Q2,2015-06-30 23:59:59.999999999,81740
Baja California,Con acceso a instituciones de salud,Mujer,2015,2,Segundo trimestre del 2015,2015Q2,2015-06-30 23:59:59.999999999,49596
Baja California,Con acceso a instituciones de salud,Hombre,2015,3,Tercer trimestre del 2015,2015Q3,2015-09-30 23:59:59.999999999,80588
Baja California,Con acceso a instituciones de salud,Mujer,2015,3,Tercer trimestre del 2015,2015Q3,2015-09-30 23:59:59.999999999,41488
Baja California,Con acceso a instituciones de salud,Hombre,2015,4,Cuarto trimestre del 2015,2015Q4,2015-12-31 23:59:59.999999999,78749
Baja California,Con acceso a instituciones de salud,Mujer,2015,4,Cuarto trimestre del 2015,2015Q4,2015-12-31 23:59:59.999999999,40635
Baja California,Con acceso a instituciones de salud,Hombre,2016,1,Primer trimestre del 2016,2016Q1,2016-03-31 23:59:59.999999999,80118
Baja California,Con acceso a instituciones de salud,Mujer,2016,1,Primer trimestre del 2016,2016Q1,2016-03-31 23:59:59.999999999,44561
Baja California,Con acceso a instituciones de salud,Hombre,2016,2,Segundo trimestre del 2016,2016Q2,2016-06-30 23:59:59.999999999,77986
Baja California,Con acceso a instituciones de salud,Mujer,2016,2,Segundo trimestre del 2016,2016Q2,2016-06-30 23:59:59.999999999,43485
Baja California,Con acceso a instituciones de salud,Hombre,2016,3,Tercer trimestre del 2016,2016Q3,2016-09-30 23:59:59.999999999,77284
Baja California,Con acceso a instituciones de salud,Mujer,2016,3,Tercer trimestre del 2016,2016Q3,2016-09-30 23:59:59.999999999,45267
Baja California,Con acceso a instituciones de salud,Hombre,2016,4,Cuarto trimestre del 2016,2016Q4,2016-12-31 23:59:59.999999999,84940
Baja California,Con acceso a instituciones de salud,Mujer,2016,4,Cuarto trimestre del 2016,2016Q4,2016-12-31 23:59:59.999999999,52796
Baja California,Con acceso a instituciones de salud,Hombre,2017,1,Primer trimestre del 2017,2017Q1,2017-03-31 23:59:59.999999999,84075
Baja California,Con acceso a instituciones de salud,Mujer,2017,1,Primer trimestre del 2017,2017Q1,2017-03-31 23:59:59.999999999,56100
Baja California,Con acceso a instituciones de salud,Hombre,2017,2,Segundo trimestre del 2017,2017Q2,2017-06-30 23:59:59.999999999,81446
Baja California,Con acceso a instituciones de salud,Mujer,2017,2,Segundo trimestre del 2017,2017Q2,2017-06-30 23:59:59.999999999,53844
Baja California,Con acceso a instituciones de salud,Hombre,2017,3,Tercer trimestre del 2017,2017Q3,2017-09-30 23:59:59.999999999,80155
Baja California,Con acceso a instituciones de salud,Mujer,2017,3,Tercer trimestre del 2017,2017Q3,2017-09-30 23:59:59.999999999,47552
Baja California,Con acceso a instituciones de salud,Hombre,2017,4,Cuarto trimestre del 2017,2017Q4,2017-12-31 23:59:59.999999999,88206
Baja California,Con acceso a instituciones de salud,Mujer,2017,4,Cuarto trimestre del 2017,2017Q4,2017-12-31 23:59:59.999999999,54763
Baja California,Con acceso a instituciones de salud,Hombre,2018,1,Primer trimestre del 2018,2018Q1,2018-03-31 23:59:59.999999999,79801
Baja California,Con acceso a instituciones de salud,Mujer,2018,1,Primer trimestre del 2018,2018Q1,2018-03-31 23:59:59.999999999,58772
Baja California,Con acceso a instituciones de salud,Hombre,2018,2,Segundo trimestre del 2018,2018Q2,2018-06-30 23:59:59.999999999,85615
Baja California,Con acceso a instituciones de salud,Mujer,2018,2,Segundo trimestre del 2018,2018Q2,2018-06-30 23:59:59.999999999,56336
Baja California,Con acceso a instituciones de salud,Hombre,2018,3,Tercer trimestre del 2018,2018Q3,2018-09-30 23:59:59.999999999,80923
Baja California,Con acceso a instituciones de salud,Mujer,2018,3,Tercer trimestre del 2018,2018Q3,2018-09-30 23:59:59.999999999,54576
Baja California,Con acceso a instituciones de salud,Hombre,2018,4,Cuarto trimestre del 2018,2018Q4,2018-12-31 23:59:59.999999999,78287
Baja California,Con acceso a instituciones de salud,Mujer,2018,4,Cuarto trimestre del 2018,2018Q4,2018-12-31 23:59:59.999999999,62757
Baja California,Con acceso a instituciones de salud,Hombre,2019,1,Primer trimestre del 2019,2019Q1,2019-03-31 23:59:59.999999999,88138
Baja California,Con acceso a instituciones de salud,Mujer,2019,1,Primer trimestre del 2019,2019Q1,2019-03-31 23:59:59.999999999,63788
Baja California,Con acceso a instituciones de salud,Hombre,2019,2,Segundo trimestre del 2019,2019Q2,2019-06-30 23:59:59.999999999,90886
Baja California,Con acceso a instituciones de salud,Mujer,2019,2,Segundo trimestre del 2019,2019Q2,2019-06-30 23:59:59.999999999,58084
Baja California,Con acceso a instituciones de salud,Hombre,2019,3,Tercer trimestre del 2019,2019Q3,2019-09-30 23:59:59.999999999,87504
Baja California,Con acceso a instituciones de salud,Mujer,2019,3,Tercer trimestre del 2019,2019Q3,2019-09-30 23:59:59.999999999,60154
Baja California,Con acceso a instituciones de salud,Hombre,2019,4,Cuarto trimestre del 2019,2019Q4,2019-12-31 23:59:59.999999999,85368
Baja California,Con acceso a instituciones de salud,Mujer,2019,4,Cuarto trimestre del 2019,2019Q4,2019-12-31 23:59:59.999999999,60341
Baja California,Con acceso a instituciones de salud,Hombre,2020,1,Primer trimestre del 2020,2020Q1,2020-03-31 23:59:59.999999999,75325
Baja California,Con acceso a instituciones de salud,Mujer,2020,1,Primer trimestre del 2020,2020Q1,2020-03-31 23:59:59.999999999,56201
Baja California,Con acceso a instituciones de salud,Hombre,2020,3,Tercer trimestre del 2020,2020Q3,2020-09-30 23:59:59.999999999,83403
Baja California,Con acceso a instituciones de salud,Mujer,2020,3,Tercer trimestre del 2020,2020Q3,2020-09-30 23:59:59.999999999,61890
Baja California,Con acceso a instituciones de salud,Hombre,2020,4,Cuarto trimestre del 2020,2020Q4,2020-12-31 23:59:59.999999999,89786
Baja California,Con acceso a instituciones de salud,Mujer,2020,4,Cuarto trimestre del 2020,2020Q4,2020-12-31 23:59:59.999999999,59494
Baja California,Con acceso a instituciones de salud,Hombre,2021,1,Primer trimestre del 2021,2021Q1,2021-03-31 23:59:59.999999999,78628
Baja California,Con acceso a instituciones de salud,Mujer,2021,1,Primer trimestre del 2021,2021Q1,2021-03-31 23:59:59.999999999,51230
Baja California,Con acceso a instituciones de salud,Hombre,2021,2,Segundo trimestre del 2021,2021Q2,2021-06-30 23:59:59.999999999,80914
Baja California,Con acceso a instituciones de salud,Mujer,2021,2,Segundo trimestre del 2021,2021Q2,2021-06-30 23:59:59.999999999,49102
Baja California,Con acceso a instituciones de salud,Hombre,2021,3,Tercer trimestre del 2021,2021Q3,2021-09-30 23:59:59.999999999,86762
Baja California,Con acceso a instituciones de salud,Mujer,2021,3,Tercer trimestre del 2021,2021Q3,2021-09-30 23:59:59.999999999,52649
Baja California,Con acceso a instituciones de salud,Hombre,2021,4,Cuarto trimestre del 2021,2021Q4,2021-12-31 23:59:59.999999999,84569
Baja California,Con acceso a instituciones de salud,Mujer,2021,4,Cuarto trimestre del 2021,2021Q4,2021-12-31 23:59:59.999999999,47630
Baja California,Con acceso a instituciones de salud,Hombre,2022,1,Primer trimestre del 2022,2022Q1,2022-03-31 23:59:59.999999999,83527
Baja California,Con acceso a instituciones de salud,Mujer,2022,1,Primer trimestre del 2022,2022Q1,2022-03-31 23:59:59.999999999,56616
Baja California,Con acceso a instituciones de salud,Hombre,2022,2,Segundo trimestre del 2022,2022Q2,2022-06-30 23:59:59.999999999,80560
Baja California,Con acceso a instituciones de salud,Mujer,2022,2,Segundo trimestre del 2022,2022Q2,2022-06-30 23:59:59.999999999,59106
Baja California,Con acceso a instituciones de salud,Hombre,2022,3,Tercer trimestre del 2022,2022Q3,2022-09-30 23:59:59.999999999,90015
Baja California,Con acceso a instituciones de salud,Mujer,2022,3,Tercer trimestre del 2022,2022Q3,2022-09-30 23:59:59.999999999,63047
Baja California,Con acceso a instituciones de salud,Hombre,2022,4,Cuarto trimestre del 2022,2022Q4,2022-12-31 23:59:59.999999999,86802
Baja California,Con acceso a instituciones de salud,Mujer,2022,4,Cuarto trimestre del 2022,2022Q4,2022-12-31 23:59:59.999999999,59834
Baja California,Con acceso a instituciones de salud,Hombre,2023,1,Primer trimestre del 2023,2023Q1,2023-03-31 23:59:59.999999999,80783
Baja California,Con acceso a instituciones de salud,Mujer,2023,1,Primer trimestre del 2023,2023Q1,2023-03-31 23:59:59.999999999,63558
Baja California,Con acceso a instituciones de salud,Hombre,2023,2,Segundo trimestre del 2023,2023Q2,2023-06-30 23:59:59.999999999,82798
Baja California,Con acceso a instituciones de salud,Mujer,2023,2,Segundo trimestre del 2023,2023Q2,2023-06-30 23:59:59.999999999,64955
Baja California,Con acceso a instituciones de salud,Hombre,2023,3,Tercer trimestre del 2023,2023Q3,2023-09-30 23:59:59.999999999,83797
Baja California,Con acceso a instituciones de salud,Mujer,2023,3,Tercer trimestre del 2023,2023Q3,2023-09-30 23:59:59.999999999,69555
Baja California,Con acceso a instituciones de salud,Hombre,2023,4,Cuarto trimestre del 2023,2023Q4,2023-12-31 23:59:59.999999999,82779
Baja California,Con acceso a instituciones de salud,Mujer,2023,4,Cuarto trimestre del 2023,2023Q4,2023-12-31 23:59:59.999999999,63158
Baja California,Con acceso a instituciones de salud,Hombre,2024,1,Primer trimestre del 2024,2024Q1,2024-03-31 23:59:59.999999999,73645
Baja California,Con acceso a instituciones de salud,Mujer,2024,1,Primer trimestre del 2024,2024Q1,2024-03-31 23:59:59.999999999,68033
Baja California,Con acceso a instituciones de salud,Hombre,2024,2,Segundo trimestre del 2024,2024Q2,2024-06-30 23:59:59.999999999,90227
Baja California,Con acceso a instituciones de salud,Mujer,2024,2,Segundo trimestre del 2024,2024Q2,2024-06-30 23:59:59.999999999,66886
Baja California,Con acceso a instituciones de salud,Hombre,2024,3,Tercer trimestre del 2024,2024Q3,2024-09-30 23:59:59.999999999,90919
Baja California,Con acceso a instituciones de salud,Mujer,2024,3,Tercer trimestre del 2024,2024Q3,2024-09-30 23:59:59.999999999,74497
Baja California,Con acceso a instituciones de salud,Hombre,2024,4,Cuarto trimestre del 2024,2024Q4,2024-12-31 23:59:59.999999999,100517
Baja California,Con acceso a instituciones de salud,Mujer,2024,4,Cuarto trimestre del 2024,2024Q4,2024-12-31 23:59:59.999999999,61589
Baja California,Con acceso a instituciones de salud,Hombre,2025,1,Primer trimestre del 2025,2025Q1,2025-03-31 23:59:59.999999999,92253
Baja California,Con acceso a instituciones de salud,Mujer,2025,1,Primer trimestre del 2025,2025Q1,2025-03-31 23:59:59.999999999,60445
Baja California,Con acceso a instituciones de salud,Hombre,2025,2,Segundo trimestre del 2025,2025Q2,2025-06-30 23:59:59.999999999,80213
Baja California,Con acceso a instituciones de salud,Mujer,2025,2,Segundo trimestre del 2025,2025Q2,2025-06-30 23:59:59.999999999,57500
Baja California,No especificado,Mujer,2007,2,Segundo trimestre del 2007,2007Q2,2007-06-30 23:59:59.999999999,392
Baja California,No especificado,Mujer,2008,2,Segundo trimestre del 2008,2008Q2,2008-06-30 23:59:59.999999999,459
Baja California,No especificado,Hombre,2008,4,Cuarto trimestre del 2008,2008Q4,2008-12-31 23:59:59.999999999,117
Baja California,No especificado,Hombre,2009,3,Tercer trimestre del 2009,2009Q3,2009-09-30 23:59:59.999999999,293
Baja California,No especificado,Hombre,2009,4,Cuarto trimestre del 2009,2009Q4,2009-12-31 23:59:59.999999999,299
Baja California,No especificado,Mujer,2010,3,Tercer trimestre del 2010,2010Q3,2010-09-30 23:59:59.999999999,281
Baja California,No especificado,Mujer,2011,2,Segundo trimestre del 2011,2011Q2,2011-06-30 23:59:59.999999999,321
Baja California,No especificado,Mujer,2012,1,Primer trimestre del 2012,2012Q1,2012-03-31 23:59:59.999999999,192
Baja California,No especificado,Mujer,2012,2,Segundo trimestre del 2012,2012Q2,2012-06-30 23:59:59.999999999,218
Baja California,No especificado,Hombre,2012,4,Cuarto trimestre del 2012,2012Q4,2012-12-31 23:59:59.999999999,770
Baja California,No especificado,Hombre,2013,1,Primer trimestre del 2013,2013Q1,2013-03-31 23:59:59.999999999,303
Baja California,No especificado,Mujer,2013,1,Primer trimestre del 2013,2013Q1,2013-03-31 23:59:59.999999999,419
Baja California,No especificado,Hombre,2013,2,Segundo trimestre del 2013,2013Q2,2013-06-30 23:59:59.999999999,245
Baja California,No especificado,Hombre,2013,3,Tercer trimestre del 2013,2013Q3,2013-09-30 23:59:59.999999999,307
Baja California,No especificado,Hombre,2013,4,Cuarto trimestre del 2013,2013Q4,2013-12-31 23:59:59.999999999,522
Baja California,No especificado,Mujer,2013,4,Cuarto trimestre del 2013,2013Q4,2013-12-31 23:59:59.999999999,296
Baja California,No especificado,Hombre,2014,1,Primer trimestre del 2014,2014Q1,2014-03-31 23:59:59.999999999,282
Baja California,No especificado,Hombre,2014,2,Segundo trimestre del 2014,2014Q2,2014-06-30 23:59:59.999999999,317
Baja California,No especificado,Mujer,2014,3,Tercer trimestre del 2014,2014Q3,2014-09-30 23:59:59.999999999,292
Baja California,No especificado,Mujer,2014,4,Cuarto trimestre del 2014,2014Q4,2014-12-31 23:59:59.999999999,204
Baja California,No especificado,Hombre,2015,1,Primer trimestre del 2015,2015Q1,2015-03-31 23:59:59.999999999,273
Baja California,No especificado,Mujer,2015,1,Primer trimestre del 2015,2015Q1,2015-03-31 23:59:59.999999999,354
Baja California,No especificado,Mujer,2015,2,Segundo trimestre del 2015,2015Q2,2015-06-30 23:59:59.999999999,247
Baja California,No especificado,Hombre,2015,3,Tercer trimestre del 2015,2015Q3,2015-09-30 23:59:59.999999999,472
Baja California,No especificado,Hombre,2015,4,Cuarto trimestre del 2015,2015Q4,2015-12-31 23:59:59.999999999,1757
Baja California,No especificado,Mujer,2015,4,Cuarto trimestre del 2015,2015Q4,2015-12-31 23:59:59.999999999,383
Baja California,No especificado,Hombre,2016,1,Primer trimestre del 2016,2016Q1,2016-03-31 23:59:59.999999999,500
Baja California,No especificado,Mujer,2016,1,Primer trimestre del 2016,2016Q1,2016-03-31 23:59:59.999999999,593
Baja California,No especificado,Hombre,2016,2,Segundo trimestre del 2016,2016Q2,2016-06-30 23:59:59.999999999,230
Baja California,No especificado,Hombre,2016,3,Tercer trimestre del 2016,2016Q3,2016-09-30 23:59:59.999999999,299
Baja California,No especificado,Mujer,2016,3,Tercer trimestre del 2016,2016Q3,2016-09-30 23:59:59.999999999,833
Baja California,No especificado,Hombre,2016,4,Cuarto trimestre del 2016,2016Q4,2016-12-31 23:59:59.999999999,521
Baja California,No especificado,Mujer,2016,4,Cuarto trimestre del 2016,2016Q4,2016-12-31 23:59:59.999999999,383
Baja California,No especificado,Hombre,2017,1,Primer trimestre del 2017,2017Q1,2017-03-31 23:59:59.999999999,793
Baja California,No especificado,Mujer,2017,1,Primer trimestre del 2017,2017Q1,2017-03-31 23:59:59.999999999,235
Baja California,No especificado,Hombre,2017,2,Segundo trimestre del 2017,2017Q2,2017-06-30 23:59:59.999999999,1183
Baja California,No especificado,Hombre,2017,3,Tercer trimestre del 2017,2017Q3,2017-09-30 23:59:59.999999999,645
Baja California,No especificado,Mujer,2017,3,Tercer trimestre del 2017,2017Q3,2017-09-30 23:59:59.999999999,1195
Baja California,No especificado,Hombre,2017,4,Cuarto trimestre del 2017,2017Q4,2017-12-31 23:59:59.999999999,1321
Baja California,No especificado,Mujer,2018,1,Primer trimestre del 2018,2018Q1,2018-03-31 23:59:59.999999999,328
Baja California,No especificado,Hombre,2018,2,Segundo trimestre del 2018,2018Q2,2018-06-30 23:59:59.999999999,1005
Baja California,No especificado,Mujer,2018,2,Segundo trimestre del 2018,2018Q2,2018-06-30 23:59:59.999999999,292
Baja California,No especificado,Mujer,2018,3,Tercer trimestre del 2018,2018Q3,2018-09-30 23:59:59.999999999,1137
Baja California,No especificado,Hombre,2018,4,Cuarto trimestre del 2018,2018Q4,2018-12-31 23:59:59.999999999,531
Baja California,No especificado,Mujer,2018,4,Cuarto trimestre del 2018,2018Q4,2018-12-31 23:59:59.999999999,710
Baja California,No especificado,Hombre,2019,1,Primer trimestre del 2019,2019Q1,2019-03-31 23:59:59.999999999,272
Baja California,No especificado,Mujer,2019,1,Primer trimestre del 2019,2019Q1,2019-03-31 23:59:59.999999999,111
Baja California,No especificado,Hombre,2019,2,Segundo trimestre del 2019,2019Q2,2019-06-30 23:59:59.999999999,1406
Baja California,No especificado,Mujer,2019,2,Segundo trimestre del 2019,2019Q2,2019-06-30 23:59:59.999999999,927
Baja California,No especificado,Hombre,2019,3,Tercer trimestre del 2019,2019Q3,2019-09-30 23:59:59.999999999,826
Baja California,No especificado,Mujer,2019,3,Tercer trimestre del 2019,2019Q3,2019-09-30 23:59:59.999999999,135
Baja California,No especificado,Hombre,2019,4,Cuarto trimestre del 2019,2019Q4,2019-12-31 23:59:59.999999999,1040
Baja California,No especificado,Mujer,2019,4,Cuarto trimestre del 2019,2019Q4,2019-12-31 23:59:59.999999999,466
Baja California,No especificado,Hombre,2020,1,Primer trimestre del 2020,2020Q1,2020-03-31 23:59:59.999999999,329
Baja California,No especificado,Mujer,2020,1,Primer trimestre del 2020,2020Q1,2020-03-31 23:59:59.999999999,999
Baja California,No especificado,Hombre,2020,3,Tercer trimestre del 2020,2020Q3,2020-09-30 23:59:59.999999999,782
Baja California,No especificado,Hombre,2020,4,Cuarto trimestre del 2020,2020Q4,2020-12-31 23:59:59.999999999,697
Baja California,No especificado,Mujer,2020,4,Cuarto trimestre del 2020,2020Q4,2020-12-31 23:59:59.999999999,512
Baja California,No especificado,Hombre,2021,1,Primer trimestre del 2021,2021Q1,2021-03-31 23:59:59.999999999,802
Baja California,No especificado,Mujer,2021,1,Primer trimestre del 2021,2021Q1,2021-03-31 23:59:59.999999999,194
Baja California,No especificado,Hombre,2021,2,Segundo trimestre del 2021,2021Q2,2021-06-30 23:59:59.999999999,641
Baja California,No especificado,Mujer,2021,2,Segundo trimestre del 2021,2021Q2,2021-06-30 23:59:59.999999999,420
Baja California,No especificado,Hombre,2021,3,Tercer trimestre del 2021,2021Q3,2021-09-30 23:59:59.999999999,689
Baja California,No especificado,Mujer,2021,3,Tercer trimestre del 2021,2021Q3,2021-09-30 23:59:59.999999999,845
Baja California,No especificado,Hombre,2021,4,Cuarto trimestre del 2021,2021Q4,2021-12-31 23:59:59.999999999,459
Baja California,No especificado,Mujer,2021,4,Cuarto trimestre del 2021,2021Q4,2021-12-31 23:59:59.999999999,909
Baja California,No especificado,Hombre,2022,1,Primer trimestre del 2022,2022Q1,2022-03-31 23:59:59.999999999,755
Baja California,No especificado,Mujer,2022,1,Primer trimestre del 2022,2022Q1,2022-03-31 23:59:59.999999999,1128
Baja California,No especificado,Hombre,2022,2,Segundo trimestre del 2022,2022Q2,2022-06-30 23:59:59.999999999,1391
Baja California,No especificado,Mujer,2022,2,Segundo trimestre del 2022,2022Q2,2022-06-30 23:59:59.999999999,723
Baja California,No especificado,Hombre,2022,3,Tercer trimestre del 2022,2022Q3,2022-09-30 23:59:59.999999999,948
Baja California,No especificado,Mujer,2022,3,Tercer trimestre del 2022,2022Q3,2022-09-30 23:59:59.999999999,996
Baja California,No especificado,Hombre,2022,4,Cuarto trimestre del 2022,2022Q4,2022-12-31 23:59:59.999999999,547
Baja California,No especificado,Mujer,2022,4,Cuarto trimestre del 2022,2022Q4,2022-12-31 23:59:59.999999999,906
Baja California,No especificado,Hombre,2023,1,Primer trimestre del 2023,2023Q1,2023-03-31 23:59:59.999999999,506
Baja California,No especificado,Mujer,2023,1,Primer trimestre del 2023,2023Q1,2023-03-31 23:59:59.999999999,514
Baja California,No especificado,Hombre,2023,2,Segundo trimestre del 2023,2023Q2,2023-06-30 23:59:59.999999999,2315
Baja California,No especificado,Mujer,2023,2,Segundo trimestre del 2023,2023Q2,2023-06-30 23:59:59.999999999,878
Baja California,No especificado,Hombre,2023,3,Tercer trimestre del 2023,2023Q3,2023-09-30 23:59:59.999999999,1349
Baja California,No especificado,Mujer,2023,3,Tercer trimestre del 2023,2023Q3,2023-09-30 23:59:59.999999999,1060
Baja California,No especificado,Hombre,2023,4,Cuarto trimestre del 2023,2023Q4,2023-12-31 23:59:59.999999999,1088
Baja California,No especificado,Mujer,2023,4,Cuarto trimestre del 2023,2023Q4,2023-12-31 23:59:59.999999999,633
Baja California,No especificado,Hombre,2024,1,Primer trimestre del 2024,2024Q1,2024-03-31 23:59:59.999999999,137
Baja California,No especificado,Mujer,2024,1,Primer trimestre del 2024,2024Q1,2024-03-31 23:59:59.999999999,1034
Baja California,No especificado,Hombre,2024,2,Segundo trimestre del 2024,2024Q2,2024-06-30 23:59:59.999999999,719
Baja California,No especificado,Mujer,2024,2,Segundo trimestre del 2024,2024Q2,2024-06-30 23:59:59.999999999,376
Baja California,No especificado,Hombre,2024,3,Tercer trimestre del 2024,2024Q3,2024-09-30 23:59:59.999999999,957
Baja California,No especificado,Mujer,2024,3,Tercer trimestre del 2024,2024Q3,2024-09-30 23:59:59.999999999,904
Baja California,No especificado,Hombre,2024,4,Cuarto trimestre del 2024,2024Q4,2024-12-31 23:59:59.999999999,1101
Baja California,No especificado,Mujer,2024,4,Cuarto trimestre del 2024,2024Q4,2024-12-31 23:59:59.999999999,1725
Baja California,No especificado,Hombre,2025,1,Primer trimestre del 2025,2025Q1,2025-03-31 23:59:59.999999999,1206
Baja California,No especificado,Mujer,2025,1,Primer trimestre del 2025,2025Q1,2025-03-31 23:59:59.999999999,762
Baja California,No especificado,Hombre,2025,2,Segundo trimestre del 2025,2025Q2,2025-06-30 23:59:59.999999999,562
Baja California,No especificado,Mujer,2025,2,Segundo trimestre del 2025,2025Q2,2025-06-30 23:59:59.999999999,277
Baja California,Sin acceso a instituciones de salud,Hombre,2005,1,Primer trimestre del 2005,2005Q1,2005-03-31 23:59:59.999999999,59189
Baja California,Sin acceso a instituciones de salud,Mujer,2005,1,Primer trimestre del 2005,2005Q1,2005-03-31 23:59:59.999999999,49738
Baja California,Sin acceso a instituciones de salud,Hombre,2005,2,Segundo trimestre del 2005,2005Q2,2005-06-30 23:59:59.999999999,55128
Baja California,Sin acceso a instituciones de salud,Mujer,2005,2,Segundo trimestre del 2005,2005Q2,2005-06-30 23:59:59.999999999,57796
Baja California,Sin acceso a instituciones de salud,Hombre,2005,3,Tercer trimestre del 2005,2005Q3,2005-09-30 23:59:59.999999999,62818
Baja California,Sin acceso a instituciones de salud,Mujer,2005,3,Tercer trimestre del 2005,2005Q3,2005-09-30 23:59:59.999999999,49070
Baja California,Sin acceso a instituciones de salud,Hombre,2005,4,Cuarto trimestre del 2005,2005Q4,2005-12-31 23:59:59.999999999,65894
Baja California,Sin acceso a instituciones de salud,Mujer,2005,4,Cuarto trimestre del 2005,2005Q4,2005-12-31 23:59:59.999999999,56227
Baja California,Sin acceso a instituciones de salud,Hombre,2006,1,Primer trimestre del 2006,2006Q1,2006-03-31 23:59:59.999999999,60044
Baja California,Sin acceso a instituciones de salud,Mujer,2006,1,Primer trimestre del 2006,2006Q1,2006-03-31 23:59:59.999999999,53542
Baja California,Sin acceso a instituciones de salud,Hombre,2006,2,Segundo trimestre del 2006,2006Q2,2006-06-30 23:59:59.999999999,59438
Baja California,Sin acceso a instituciones de salud,Mujer,2006,2,Segundo trimestre del 2006,2006Q2,2006-06-30 23:59:59.999999999,57828
Baja California,Sin acceso a instituciones de salud,Hombre,2006,3,Tercer trimestre del 2006,2006Q3,2006-09-30 23:59:59.999999999,65507
Baja California,Sin acceso a instituciones de salud,Mujer,2006,3,Tercer trimestre del 2006,2006Q3,2006-09-30 23:59:59.999999999,67663
Baja California,Sin acceso a instituciones de salud,Hombre,2006,4,Cuarto trimestre del 2006,2006Q4,2006-12-31 23:59:59.999999999,69371
Baja California,Sin acceso a instituciones de salud,Mujer,2006,4,Cuarto trimestre del 2006,2006Q4,2006-12-31 23:59:59.999999999,73197
Baja California,Sin acceso a instituciones de salud,Hombre,2007,1,Primer trimestre del 2007,2007Q1,2007-03-31 23:59:59.999999999,56299
Baja California,Sin acceso a instituciones de salud,Mujer,2007,1,Primer trimestre del 2007,2007Q1,2007-03-31 23:59:59.999999999,66552
Baja California,Sin acceso a instituciones de salud,Hombre,2007,2,Segundo trimestre del 2007,2007Q2,2007-06-30 23:59:59.999999999,70121
Baja California,Sin acceso a instituciones de salud,Mujer,2007,2,Segundo trimestre del 2007,2007Q2,2007-06-30 23:59:59.999999999,67605
Baja California,Sin acceso a instituciones de salud,Hombre,2007,3,Tercer trimestre del 2007,2007Q3,2007-09-30 23:59:59.999999999,71227
Baja California,Sin acceso a instituciones de salud,Mujer,2007,3,Tercer trimestre del 2007,2007Q3,2007-09-30 23:59:59.999999999,66824
Baja California,Sin acceso a instituciones de salud,Hombre,2007,4,Cuarto trimestre del 2007,2007Q4,2007-12-31 23:59:59.999999999,75908
Baja California,Sin acceso a instituciones de salud,Mujer,2007,4,Cuarto trimestre del 2007,2007Q4,2007-12-31 23:59:59.999999999,75432
Baja California,Sin acceso a instituciones de salud,Hombre,2008,1,Primer trimestre del 2008,2008Q1,2008-03-31 23:59:59.999999999,73778
Baja California,Sin acceso a instituciones de salud,Mujer,2008,1,Primer trimestre del 2008,2008Q1,2008-03-31 23:59:59.999999999,69567
Baja California,Sin acceso a instituciones de salud,Hombre,2008,2,Segundo trimestre del 2008,2008Q2,2008-06-30 23:59:59.999999999,74625
Baja California,Sin acceso a instituciones de salud,Mujer,2008,2,Segundo trimestre del 2008,2008Q2,2008-06-30 23:59:59.999999999,81007
